HTS Number,Description,Country,Custom Value 2009,Custom Value 2011,Custom Value 2014,Custom Value - Percent Change 2011 - 2014,"Quantity 2009, kg","Quantity 2011, kg",Quantity 2014,Quantity - Percent Change 2011 - 2014
9012200,"Coffee, roasted, decaffeinated ",Colombia ,7172596,23200566,1490643,-93.57%,1747247,3651375,160653,-95.60%
9012200,"Coffee, roasted, decaffeinated ",Costa Rica ,277766,725271,266236,-63.29%,40482,93838,18670,-80.10%
9012200,"Coffee, roasted, decaffeinated ",Dominican Rep ,8040,0,0,#DIV/0!,956,0,0,N/A 
9012200,"Coffee, roasted, decaffeinated ",El Salvador ,7560,119258,0,-100.00%,1107,20770,0,-100.00%
9012200,"Coffee, roasted, decaffeinated ",Ethiopia ,570878,4175344,0,-100.00%,150180,649828,0,-100.00%
9012200,"Coffee, roasted, decaffeinated ",France ,44462,127632,29156,-77.16%,2720,4764,1072,-77.50%
9012200,"Coffee, roasted, decaffeinated ",Germany ,763357,868095,213552,-75.40%,93276,111503,34859,-68.70%
9012200,"Coffee, roasted, decaffeinated ",Greece ,33942,427212,13200,-96.91%,1522,30178,260,-99.10%
9012200,"Coffee, roasted, decaffeinated ",Guatemala ,40198,86934,490388,464.09%,19181,13830,114179,725.60%
9012200,"Coffee, roasted, decaffeinated ",Haiti ,5456,0,6166,#DIV/0!,536,0,638,N/A 
9012200,"Coffee, roasted, decaffeinated ",Honduras ,23177,301863,282204,-6.51%,1787,74685,93136,24.70%
9012200,"Coffee, roasted, decaffeinated ",Hong Kong ,0,0,4922,#DIV/0!,0,0,455,N/A 
9012200,"Coffee, roasted, decaffeinated ",India ,41385,526315,226958,-56.88%,8297,69478,43007,-38.10%
9012200,"Coffee, roasted, decaffeinated ",Indonesia ,34204,1038096,77364,-92.55%,10020,273839,34812,-87.30%
9012200,"Coffee, roasted, decaffeinated ",Israel ,304540,661152,13005,-98.03%,24058,78663,2812,-96.40%
9012200,"Coffee, roasted, decaffeinated ",Italy ,6019031,8608693,11161585,29.65%,620682,815560,1061786,30.20%
9012200,"Coffee, roasted, decaffeinated ",Jamaica ,0,4800,63635,1225.73%,0,136,1664,1123.50%
9012200,"Coffee, roasted, decaffeinated ",Japan ,15320,15512,0,-100.00%,930,815,0,-100.00%
9012200,"Coffee, roasted, decaffeinated ",Kenya ,0,1437365,0,-100.00%,0,240802,0,-100.00%
9012200,"Coffee, roasted, decaffeinated ",Korea ,0,0,45738,#DIV/0!,0,0,2520,N/A 
9012200,"Coffee, roasted, decaffeinated ",Lebanon ,2800,162887,46200,-71.64%,400,18335,6400,-65.10%
9012200,"Coffee, roasted, decaffeinated ",Macedonia ,0,41409,0,-100.00%,0,8995,0,-100.00%
9012200,"Coffee, roasted, decaffeinated ",Madagascar ,0,293952,0,-100.00%,0,60710,0,-100.00%
9012200,"Coffee, roasted, decaffeinated ",Malaysia ,12000,77462,11232,-85.50%,2373,14235,5760,-59.50%
9012200,"Coffee, roasted, decaffeinated ",Mexico ,882569,5439951,466510,-91.42%,191217,1147312,111145,-90.30%
9012200,"Coffee, roasted, decaffeinated ",Netherlands ,1016614,797749,1896608,137.74%,124462,87960,167853,90.80%
9012200,"Coffee, roasted, decaffeinated ",Nicaragua ,962839,133144,26553,-80.06%,168150,28941,3140,-89.20%
9012200,"Coffee, roasted, decaffeinated ",Norway ,0,0,4665,#DIV/0!,0,0,383,N/A 
9012200,"Coffee, roasted, decaffeinated ",Panama ,4941,2660,28410,968.05%,570,95,1976,1980.00%
9012200,"Coffee, roasted, decaffeinated ",Papua New Guin ,0,241001,0,-100.00%,0,39902,0,-100.00%
9012200,"Coffee, roasted, decaffeinated ",Peru ,431464,293169,18415,-93.72%,166615,57027,17779,-68.80%
9012200,"Coffee, roasted, decaffeinated ",Poland ,21933,58417,36110,-38.19%,11688,17718,8555,-51.70%
9012200,"Coffee, roasted, decaffeinated ",Portugal ,126655,369191,146360,-60.36%,8970,31504,20765,-34.10%
9012200,"Coffee, roasted, decaffeinated ",Rwanda ,2115,57167,0,-100.00%,500,10020,0,-100.00%
9012200,"Coffee, roasted, decaffeinated ",Senegal ,0,0,3240,#DIV/0!,0,0,720,N/A 
9012200,"Coffee, roasted, decaffeinated ",Singapore ,2510,0,0,#DIV/0!,600,0,0,N/A 
9012200,"Coffee, roasted, decaffeinated ",South Africa ,0,0,118704,#DIV/0!,0,0,8018,N/A 
9012200,"Coffee, roasted, decaffeinated ",Spain ,0,98039,213250,117.52%,0,3991,15097,278.30%
9012200,"Coffee, roasted, decaffeinated ",Sweden ,4552918,5136025,884729,-82.77%,660879,533350,90628,-83.00%
9012200,"Coffee, roasted, decaffeinated ",Switzerland ,3084325,7424315,5358289,-27.83%,122416,312546,306959,-1.80%
9012200,"Coffee, roasted, decaffeinated ",Taiwan ,18239,52559,305039,480.37%,4886,13289,67414,407.30%
9012200,"Coffee, roasted, decaffeinated ",Thailand ,90787,23945,7250,-69.72%,39668,7875,745,-90.50%
9012200,"Coffee, roasted, decaffeinated ",Turkey ,46176,0,0,#DIV/0!,5387,0,0,N/A 
9012200,"Coffee, roasted, decaffeinated ",Uganda ,63747,526461,0,-100.00%,20040,165720,0,-100.00%
9012200,"Coffee, roasted, decaffeinated ",United Kingdom ,100550,15327,210711,1274.77%,5873,452,6443,1325.40%
9012200,"Coffee, roasted, decaffeinated ",Venezuela ,34204,0,0,#DIV/0!,10020,0,0,N/A 
9012200,"Coffee, roasted, decaffeinated ",Vietnam ,1055663,2830903,86872,-96.93%,311658,769952,16560,-97.80%
